REF,LINEA,REFERENCIA,TARGET,PRECIO
5781,R.LAUREN,BIG PONY N° 2 VARON 250 ML (ROJO),Hombre,43900
5782,R.LAUREN,BIG PONY N° 3 VARON 125 ML (VERDE),Hombre,36900
5783,R.LAUREN,BIG PONY N° 4 VARON 125 ML (NARANJO),Hombre,36900
5784,R.LAUREN,ROMANCE MIDNIGHT DAMA 100 ML,Mujer,49900
5785,R.LAUREN,ROMANCE DAMA 100 ML,Mujer,48900
5786,R.LAUREN,ROMANCE DAMA 100 ML TESTER,Mujer,44900
5787,REALM,REALM DAMA PHEROMONAS 100 ML ,Mujer,18900
5788,REALM,REALM VARON PHEROMONAS 100 ML ,Hombre,18900
5789,REVLON,CHARLIE RED 100 ML,Mujer,4900
5790,REVLON,CHARLIE GOLD 100 ML,Mujer,4900
5791,RIHANNA,RIHANNA ROUGE EDP 125 ML  ,Mujer,24900
5792,RIHANNA,RIHANNA NUDE EDP 100 ML,Mujer,24900
5793,RIHANNA,RIHANNA REBELLE EDP 100 ML,Mujer,24900
5794,ROCHAS,ROCHAS MAN 100 ML,Hombre,24900
5795,ROCHAS,MADAME ROCHAS100 ML,Mujer,26900
5796,S.ARMY,SWISS ARMY ALTITTUDE 100 ML ,Hombre,21900
5797,S.ARMY,SWISS ARMY DAMA 100 ML ,Mujer,21900
5798,S.ARMY,SWISS ARMY UNLIMITED 75 ML (RECARGABLE),Hombre,18900
5799,S.ARMY,SWISS ARMY UNLIMITED 75 ML (RECARGA),Hombre,16900
5800,SANDORA,PERFUMES SANDORA 100 ML NEW,Unisex,5900
5801,SANDORA,COLONIAS SURTIDAS 240 ML NEW,Mujer,5900
5802,SEX CITY,SEX IN THE CITY VARON 100 ML,Hombre,1500
5803,SEX CITY,SEX IN THE CITY DAMA 4 PIEZAS 100 ML ESTUCHE,Mujer,3900
5804,SEX CITY,SEX IN THE CITY DAMA 12 PIEZAS 100 ML ESTUCHE,Mujer,7900
5805,SHAKIRA,SHAKIRA 80 ML,Mujer,16900
5806,SHAKIRA,SHAKIRA 30 ML,Mujer,6900
5807,SHAKIRA,SHAKIRA ELIXIR 80 ML,Mujer,16900
5808,SHAKIRA,SHAKIRA ELIXIR 80 ML TESTER ,Mujer,10900
5809,SHAKIRA,SHAKIRA FLORAL 80 ML,Mujer,16900
5810,SHAKIRA,SHAKIRA FLORAL 80 ML TESTER,Mujer,10900
5811,SHAKIRA,SHAKIRA ROCK 80 ML,Mujer,16900
5812,SHAKIRA,SHAKIRA WILD ELIXIR 80 ML,Mujer,16900
5813,T.MUGLER,ANGEL DAMA EDP 100 ML,Mujer,59900
5814,T.MUGLER,ANGEL DAMA EDP 50 ML,Mujer,49900
5815,T.MUGLER,ANGEL DAMA 100 ML TESTER,Mujer,55900
5816,T.MUGLER,ANGEL EAU SUCREE ,Mujer,56900
5817,T.MUGLER,MUGLER SHOW EDT 50 ML,Mujer,38900
5818,T.MUGLER,ALIEN LUXURY 60 ML ESTUCHE,Mujer,49900
5819,T.MUGLER,ALIEN DAMA 100 ML TESTER ,Mujer,46900
5820,T.MUGLER,AMEN VARON 100 ML ,Hombre,39900
5821,T.MUGLER,AMEN VARON 100 ML TESTER,Hombre,35900
5822,T.MUGLER,AMEN URBAN 100 ML,Hombre,39900
5823,T.MUGLER,AMEN PURE WOOD 100 ML,Hombre,39900
5824,T.MUGLER,AMEN PURE ENERGY 100 ML,Hombre,39900
5825,TOMMY,TOMMY GIRL 100 ML,Mujer,17900
5826,TOMMY,TOMMY VARON 100 ML,Hombre,17900
5827,TOMMY,TOMMY VARON 100 ML,Hombre,17900
5828,TOMMY,TOMMY VARON 200 ML,Hombre,29900
5829,TOMMY,TOMMY VARON 100 ML TESTER,Hombre,15900
5830,TOMMY,TOMMY PREP VARON 100 ML,Hombre,17900
5831,TOMMY,TOMMY GIRL 100 ML,Mujer,17900
5832,TOMMY,TOMMY GIRL 100 ML TESTER,Mujer,15900
5833,TOMMY,DREAMING EDP 50 ML ,Mujer,24900
5834,TOMMY,FREEDOM VARON 100 ML ,Hombre,31900
5835,TOMMY,TRUE STAR GOLD 75 ML (DESCONTINUADO),Mujer,19900
5836,TOUS,TOUS H2O DAMA EDT 100 ML ,Mujer,23900
5837,V.ROLF,FLOWER BOMB 50 ML TESTER,Mujer,59900
5838,V.ROLF,FLOWER BOMB LA VIE EN ROSE 50 ML TESTER,Mujer,59900
5839,V.ROLF,SPICEBOMB VARON 90 ML ,Hombre,72900
5840,V.ROLF,SPICEBOMB VARON 90 ML TESTER,Hombre,64900
5841,V.SECRET,COLONIA VICTORIA SECRET BODY MIST 250 ML,Mujer,6900
5842,V.SECRET,CREMA VICTORIA SECRET BODY LOTION 250 ML ,Mujer,7900
5843,V.SEDUCTION,COLONIAS BODY MIST 250 ML ,Mujer,5900
5844,VAN CLEEF,TSAR TRADIONAL VARON 100 ML,Hombre,21900
5845,VAN CLEEF,FIRST 90 ML ,Mujer,23900
5846,VAN CLEEF,VAN CLEEF VARON 100 ML,Hombre,20900
5847,VANDERBILT,GLORIA VANDERBILT 100 ML,Mujer,10900
5848,VERSACE,BLUE JEANS 75 ML,Hombre,15900
5849,VERSACE,RED JEANS 75 ML,Mujer,15900
5850,VERSACE,VERSACE POUR HOMME 100 ML,Hombre,33900
5851,VERSACE,VERSACE EAU FRAICHE VARON 100 ML,Hombre,33900
5852,VERSACE,VERSACE EAU FRAICHE VARON 200 ML,Hombre,41900
5853,VERSACE,VANITAS DE VERSACE EDP 100 ML ,Mujer,34900
5854,VERSACE,VANITAS DE VERSACE EDP 50 ML ,Mujer,26900
5855,VERSACE,BRIGHT CRYSTAL 90 ML ESTUCHE,Mujer,37900
5856,VERSACE,BRIGHT CRYSTAL ABSOLUTE 90 ML,Mujer,36900
5857,VERSACE,VERSACE YELLOW DIAMOND 90 ML ,Mujer,34900
5858,VERSACE,VERSACE YELLOW DIAMOND 90 ML ESTUCHE,Mujer,38900
5859,VERSACE,VERSACE YELLOW DIAMOND INTENSE 90 ML ,Mujer,36900
5860,VERSACE,VERSACE VERSENSE DAMA 100 ML,Mujer,39900
5861,VERSACE,VERSACE VERSUS 50 ML,Mujer,22900
5862,VERSACE,VERSACE EROS 100 ML ,Hombre,39900
5863,VERSACE,VERSACE EROS 100 ML ESTUCHE,Hombre,42900
5864,VIOLETTA,VIOLETTA 100 ML ,Mujer,11900
5865,YSL,BELLE D' OPIUM DAMA EDP 90 ML,Mujer,48900
5866,YSL,BELLE D' OPIUM DAMA EDP 30 ML,Mujer,25900
5867,YSL,BABY DOLL 100 ML,Mujer,32900
5868,YSL,YSL L' HOMME 100 ML ,Hombre,41900
5869,YSL,YSL L' HOMME NUIT 100 ML ,Hombre,41900
5870,YSL,YSL L' HOMME EAU LIBRE 100 ML ,Hombre,41900
5871,YSL,YSL HOMME SPORT 100 ML,Hombre,41900
5872,YSL,ELLE YSL 90 ML ,Mujer,46900
5873,YSL,OPIUM EDT 90 ML,Mujer,46900
5874,YSL,OPIUM EDT 90 ML TESTER,Mujer,41900
5875,YSL,OPIUM BLACK EDP 90 ML NEW,Mujer,49900
5876,YSL,JAZZ 80 ML,Hombre,32900
5877,YSL,LIVE JAZZ 100 ML,Hombre,36900
5878,YSL,PARISIENNE EDP 90 ML ,Mujer,43900
5879,YSL,MANIFESTO 90 ML ,Mujer,43900
5880,YSL,CINEMA 90 ML ,Mujer,43900
5881,YSL,KOUROS 100 ML,Hombre,38900
5882,YSL,BODY KOUROS 100 ML,Hombre,31900
5883,YSL,RIVE GAUCHE DAMA 100 ML,Mujer,41900
5884,ZIPPO,ZIPPO INTO THE BLUE VARON EDT 100 ML ,Hombre,21900
